"图解4"
"平动位移 - Z (mm)","线性位移6 (mm)"
-262.421770012226,14.2465815990515
-262.74879330926,14.2072558979925
-262.79454060418,14.1891544505758
-262.797721399768,14.1825918611976
-262.812414054981,14.1776882839078
-262.83604383497,14.1663584275381
-262.850778113019,14.1605797170849
-262.869226136814,14.1496770364848
-262.89404084314,14.1378970372282
-262.90578464641,14.1364502172324
-262.912469023937,14.1304218806154
-262.928019988902,14.126295893622
-262.964782336059,14.1055834334804
-263.024087599097,14.0771933583311
-263.091871698646,14.0442136173268
-263.168360028675,14.0092428345208
-263.252911669329,13.969172342964
-263.292063126694,13.952379387894
-263.348776375451,13.9281173299166
-263.449758982708,13.8825131711266
-263.451628438844,13.8807228704444
-263.523202647268,13.8404831936936
-263.559305154245,13.8324937499578
-263.633720170888,13.7911379112985
-263.676738903926,13.7702118527631
-263.690533249826,13.7659392993284
-263.800406066958,13.7116932292132
-263.931250227825,13.6500967874273
-264.069850758757,13.5845856878024
-264.214873783869,13.5164766957133
-264.233365138933,13.5099752667794
-264.34008797487,13.4574986805422
-264.369502409225,13.4425941216311
-264.528881767092,13.3731987044144
-264.534044051324,13.3664933502019
-264.693766679536,13.2879430542855
-264.866420351293,13.2059132853348
-265.045527789015,13.1297656785199
-265.050142866737,13.1214529641093
-265.228975349954,13.0334994346386
-265.356401841068,12.9734021845783
-265.419425735656,12.9405856649575
-265.612885467604,12.8498883171061
-265.615592763653,12.8474556791674
-265.815565981011,12.7489589832895
-266.020193782662,12.6445188050402
-266.232209417193,12.5470400156339
-266.448125558549,12.4424685815255
-266.668785868602,12.3346515706283
-266.690942527609,12.3243977932595
-266.898409503199,12.2216662778707
-267.128201196567,12.1086371524539
-267.36386396956,11.9994238251498
-267.36948238882,11.9937831672347
-267.601490061965,11.8763035433413
-267.844305596354,11.7571310414873
-268.090260306634,11.6336851213636
-268.241555304521,11.559854312883
-268.341701867671,11.5092920105616
-268.595276459109,11.3828122800605
-268.852699900607,11.2546169757828
-269.112648203007,11.1236888172547
-269.375755940575,10.9911501991183
-269.641979412092,10.8570367943731
-269.910668038248,10.7204536977656
-270.067137045791,10.6431611060431
-270.18596850943,10.5812527844932
-270.459821229308,10.4429730008023
-270.733106532903,10.3047161783899
-270.7369562124,10.3017181404377
-271.014449997561,10.1584223358962
-271.119709435668,10.103337965387
-271.294682488499,10.013676339966
-271.577985868864,9.86843298225076
-271.730959403298,9.79267263141467
-271.862585004991,9.72139643420973
-271.947998706421,9.67854774516688
-272.148914534434,9.57299345251142
-272.232066791729,9.53060821820591
-272.435059473104,9.42381758968607
-272.721632711478,9.27472000137748
-273.008675194245,9.12343520302544
-273.29703650891,8.97328614312333
-273.585711412566,8.8216343114378
-273.874756242267,8.66874289946536
-274.163968173045,8.51529322569974
-274.456003443156,8.36368928597162
-274.744416808769,8.20675079729596
-275.033749045881,8.05387341960084
-275.058211507832,8.0434315829893
-275.296365939934,7.91309481134982
-275.324999130942,7.90034856764596
-275.382292188854,7.86942345570507
-275.460960951941,7.82808408870095
-275.569479474416,7.76820165264637
-275.620628287439,7.74259490287825
-275.658086878552,7.72182466263965
-275.761887696584,7.67077369206659
-275.90441620563,7.59190008040325
-275.914296860258,7.58745174460632
-276.198411833469,7.43832131938267
-276.370936084144,7.34820774398841
-276.4828330299,7.28936385760888
-276.764705121917,7.1403618960388
-277.047329434913,6.99254670792558
-277.055999722828,6.98566426177834
-277.151913416744,6.93429321975481
-277.329335700699,6.84144810685415
-277.605988194758,6.69079464740412
-277.698768314388,6.64366421698738
-277.882549878093,6.54354220250201
-278.07738469743,6.43930225619292
-278.159245971178,6.39619227872157
-278.256610285807,6.34505867203741
-278.432444410529,6.24920905272461
-278.496481692533,6.21655696041166
-278.606846612673,6.15496524862386
-278.709453990042,6.09943219215973
-278.778716443984,6.0625473182379
-278.979682381339,5.95402187407219
-279.026444943159,5.93295933712887
-279.230511011106,5.82100948032618
-279.249284251323,5.80973027440557
-279.34533392964,5.75600883475694
-279.514792799157,5.66691840033443
-279.774144818203,5.52403699976681
-279.858977727816,5.48098033644016
-279.961589767395,5.42301493398696
-280.043277897095,5.37723146797363
-280.299659573262,5.24313119618612
-280.306037238318,5.2347555564457
-280.401655531854,5.1840348162118
-280.552018853543,5.0987150240637
-280.631476083931,5.05574307961795
-280.806486178996,4.96201997400891
-281.050326931128,4.82563929462756
-281.29151062178,4.69294545818617
-281.529459846001,4.56253398554944
-281.763930312262,4.43395310729633
-281.994748181062,4.30699290835608
-282.221790077498,4.18155250671172
-282.444962297736,4.05769057797616
-282.664243332987,3.93558460648614
-282.810526667392,3.85089448022118
-282.880156176564,3.81403767873277
-282.977805724087,3.75625675469544
-283.092199319189,3.69607677600993
-283.120110445537,3.67874378490045
-283.262589316391,3.5970352896509
-283.300072610118,3.57780991324771
-283.412995652472,3.51356782437587
-283.503407790649,3.46495227726651
-283.571018883723,3.42413858155366
-283.691780767767,3.35752510985848
-283.702341048682,3.35212241039999
-283.896572256864,3.24408790002922
-284.085979686215,3.13653859692825
-284.191435412342,3.07201273781378
-284.271030439139,3.03148255944564
-284.299830501719,3.01301972960621
-284.354258249325,2.98318526919981
-284.450859760832,2.92932764508515
-284.500753353935,2.89913036735368
-284.625498990136,2.83092554909208
-284.660360934522,2.80863715670118
-284.760188975617,2.7504363580035
-284.794794947627,2.73356552674175
-284.958301301778,2.64155730268062
-284.970508168069,2.63197597783169
