"图解2"
"平动位移 - Z (mm)","角位移1 (deg)"
-262.421770012226,-94.6193464955926
-262.74879330926,-94.6050876899932
-262.79454060418,-94.5940390399303
-262.797721399768,-94.5887613574945
-262.812414054981,-94.5241417936186
-262.83604383497,-94.4170557331698
-262.850778113019,-94.3537895663288
-262.869226136814,-94.2686644873297
-262.89404084314,-94.1620284394804
-262.90578464641,-94.1127936697301
-262.912469023937,-94.0804798111448
-262.928019988902,-94.0191716491548
-262.964782336059,-93.853301418448
-263.024087599097,-93.5887325671906
-263.091871698646,-93.2880323798695
-263.168360028675,-92.9530352503041
-263.252911669329,-92.584859809365
-263.292063126694,-92.4218131489681
-263.348776375451,-92.1856584135665
-263.449758982708,-91.7565964563577
-263.451628438844,-91.7481876195348
-263.523202647268,-91.4438793749604
-263.559305154245,-91.2993785309639
-263.633720170888,-90.9891316212444
-263.676738903926,-90.8147285140225
-263.690533249826,-90.7603032182796
-263.800406066958,-90.3064210673337
-263.931250227825,-89.7753084888732
-264.069850758757,-89.2230219728246
-264.214873783869,-88.6514405267506
-264.233365138933,-88.5882762766621
-264.34008797487,-88.1763111568483
-264.369502409225,-88.061906253249
-264.528881767092,-87.4572328657503
-264.534044051324,-87.4390960629162
-264.693766679536,-86.8368528104669
-264.866420351293,-86.2044341181084
-265.045527789015,-85.5617150447172
-265.050142866737,-85.5452199900559
-265.228975349954,-84.9076870656084
-265.356401841068,-84.4660623441105
-265.419425735656,-84.2460810959653
-265.612885467604,-83.5879056869421
-265.615592763653,-83.5779031190365
-265.815565981011,-82.9040340527754
-266.020193782662,-82.2257239999682
-266.232209417193,-81.545087504269
-266.448125558549,-80.8622062518171
-266.668785868602,-80.1784164949204
-266.690942527609,-80.1141617858982
-266.898409503199,-79.4946039682527
-267.128201196567,-78.8119541876955
-267.36386396956,-78.1314160882964
-267.36948238882,-78.1146888988412
-267.601490061965,-77.4530382461419
-267.844305596354,-76.7782340309384
-268.090260306634,-76.1073457139715
-268.241555304521,-75.7067416794369
-268.341701867671,-75.4410400582799
-268.595276459109,-74.7798003298192
-268.852699900607,-74.1240882385843
-269.112648203007,-73.4743082628718
-269.375755940575,-72.8308215626639
-269.641979412092,-72.193931791802
-269.910668038248,-71.5639197450424
-270.067137045791,-71.2131096113
-270.18596850943,-70.9410280446193
-270.459821229308,-70.3253342951559
-270.733106532903,-69.7260291405683
-270.7369562124,-69.7171042439771
-271.014449997561,-69.1164386164399
-271.119709435668,-68.8930344991307
-271.294682488499,-68.5234042188004
-271.577985868864,-67.9380038184296
-271.730959403298,-67.6294284744753
-271.862585004991,-67.3603471958508
-271.947998706421,-67.1886023555257
-272.148914534434,-66.7904274007204
-272.232066791729,-66.6276810075677
-272.435059473104,-66.2281939264506
-272.721632711478,-65.6735412107971
-273.008675194245,-65.1266258825576
-273.29703650891,-64.5870794222971
-273.585711412566,-64.0550858117053
